Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,RST Flag Count,PSH Flag Count,Protocol,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Idle Mean,Label
3389,321056,195,274,281181.24,170399.11,96.81,202.59,56140.1,1699.49,18,22,1,2,6,1362.62,51721,6765,4393.15,37759.48,DoS
22,1193650,65,404,453308.66,145900.76,657.34,715.39,46982.34,4574.29,8,1,2,5,17,342.02,40929,42885,2635.37,80933.85,Brute Force
445,4302276,223,350,269282.79,398233.78,902.83,1250.27,52108.84,446.58,3,13,2,8,6,1277.12,43324,12916,3629.14,8260.98,BENIGN
110,4649997,201,452,36691.72,228383.54,868.29,504.16,18987.28,85.89,2,2,5,5,6,1348.38,16040,27613,2659.99,72366.34,BENIGN
3306,1958676,279,247,490338.26,76880.84,813.84,567.89,46183.48,495.9,2,0,1,7,6,70.67,53379,24095,3424.83,95467.21,BENIGN
22,4281876,182,362,44440.01,216600.16,32.67,803.7,7441.05,55.2,0,22,5,6,6,1478.61,18229,63661,2362.55,75081.49,BENIGN
445,1375545,453,493,209547.96,358858.95,1025.0,558.16,23572.85,12.87,2,2,5,0,17,824.8,10601,60905,3279.66,91582.32,BENIGN
139,2834036,265,61,314827.33,401138.32,591.64,93.08,13687.98,184.88,3,21,0,5,17,1311.77,49531,48218,4902.2,66883.44,BENIGN
110,4336589,264,284,68728.88,250061.26,827.28,553.5,89354.01,80.13,0,10,0,4,6,336.78,22130,18361,1990.85,93826.25,BENIGN
8080,144950,100,137,282334.01,42550.01,489.2,511.72,53814.43,3911.52,11,29,4,2,17,758.74,27130,51942,141.12,71376.33,PortScan
8080,1881304,431,256,462483.24,304875.44,28.82,1190.68,60159.61,170.92,3,15,2,9,6,1049.25,24659,57492,2303.81,95768.33,BENIGN
3306,3767877,176,415,376869.29,410239.06,287.4,1465.85,6337.97,179.98,2,13,3,8,17,1250.86,12484,57144,2795.15,36851.72,BENIGN
139,2704094,29,483,190323.52,292984.47,461.8,698.32,76582.96,454.2,0,22,2,3,17,428.23,29808,37905,2857.61,24841.33,BENIGN
21,1529453,64,10,214088.59,248229.1,215.2,802.66,47083.77,169.25,2,17,1,5,17,1341.64,15498,40194,4319.7,46340.63,BENIGN
8080,117919,165,373,193281.11,343994.65,112.7,380.04,16885.24,353.17,2,13,2,6,6,926.31,33582,45180,823.85,4662.11,BENIGN
3389,3921764,115,144,263928.83,51613.99,927.03,836.1,80756.72,152.07,1,16,0,10,17,633.36,52896,30420,554.74,57000.76,BENIGN
25,4138419,69,99,464808.78,488472.02,1459.15,366.72,20896.66,259.13,3,12,0,0,17,998.07,36867,2986,209.21,94146.68,BENIGN
8080,1560676,156,57,141309.86,321514.8,500.72,773.24,74891.49,349.71,3,25,1,7,6,644.86,34483,44436,4600.28,39067.35,BENIGN
80,1168884,244,374,360247.0,53419.96,200.57,1389.71,35353.08,4407.98,20,19,0,7,17,461.58,15007,26621,4683.09,10572.69,DoS
110,695329,400,342,103015.25,192141.73,639.81,1314.5,14143.19,296.82,0,27,0,2,6,523.3,7460,10619,1095.36,43020.54,BENIGN
22,3870955,357,46,67208.15,20589.24,670.42,1218.03,20714.28,753.66,6,7,1,6,17,1020.52,6883,45278,47.71,32738.19,Brute Force
21,4616131,34,56,462392.57,144033.99,205.17,1188.94,78520.3,407.51,1,19,5,8,17,1377.6,65020,37408,1838.72,62608.86,BENIGN
110,2630606,354,430,1693.11,175271.19,1143.1,969.91,8080.5,301.72,0,23,1,9,17,689.29,7880,49090,2981.65,74557.64,BENIGN
110,3586050,399,246,141685.62,445158.05,1474.98,245.03,2768.81,1424.04,11,23,0,10,6,1178.95,24978,13082,504.07,99991.33,DoS
8080,618335,185,29,457337.53,180575.85,393.07,139.15,26072.29,61.51,2,25,4,1,6,1463.74,22637,19826,3996.24,63798.6,BENIGN
53,45885,48,429,56666.99,50463.11,1155.68,1255.97,81779.92,220.31,2,28,2,10,6,1237.61,9694,26413,1.74,20965.58,BENIGN
3389,704430,90,274,133377.61,84074.02,1328.23,1242.1,6585.36,65.69,3,0,0,9,17,428.53,4534,42843,3373.77,71431.26,BENIGN
3306,2838178,12,340,72675.99,142442.5,1442.54,640.46,49799.65,299.13,2,13,0,2,6,1012.47,37060,15597,4487.57,6273.1,BENIGN
1433,3641882,365,273,469465.23,37302.92,1249.78,324.28,43987.9,200.96,1,30,4,4,6,344.02,3359,11259,4276.55,52532.61,BENIGN
3306,3964600,316,196,166912.7,91220.2,993.62,1461.39,65841.82,418.89,0,3,0,0,6,262.27,53642,43226,679.69,70592.5,BENIGN
1433,2208829,146,210,422301.74,266755.11,1270.85,1389.82,9253.25,255.54,2,27,0,9,6,798.83,40136,62859,3319.3,10113.11,BENIGN
3389,4625030,246,15,185863.23,404000.79,708.79,971.84,28493.24,313.83,1,17,4,9,17,330.08,3624,25593,261.94,9682.88,BENIGN
8080,879464,337,316,36465.05,286908.92,1463.45,759.72,71310.25,331.99,3,24,3,8,6,1324.22,53171,35444,2487.65,31530.34,BENIGN
8080,2244270,173,346,240470.15,117638.99,1098.62,1260.95,69116.44,392.93,3,22,1,5,6,244.84,53927,43559,836.2,68589.2,BENIGN
8080,2089970,261,487,327030.47,385980.41,739.14,1002.91,47112.66,385.92,1,8,2,10,17,368.21,28999,49948,4243.28,47238.12,BENIGN
1433,741295,168,227,231948.07,55826.15,1076.27,529.03,32099.54,432.53,3,7,5,8,17,1105.06,54906,39598,3475.94,66557.34,BENIGN
445,3934384,220,327,418971.64,174094.49,980.56,187.55,95452.85,1410.5,19,11,4,4,6,545.15,53127,4098,590.5,12853.79,PortScan
123,4191589,33,408,94258.48,174545.07,507.05,622.05,48881.42,258.19,3,12,0,5,17,189.67,17877,6898,3462.08,36818.88,BENIGN
445,3763267,476,373,218413.57,223688.66,79.76,77.32,93624.5,4181.53,18,30,4,6,17,1256.48,48969,22803,1838.9,6310.75,DoS
123,4196035,165,16,412623.43,401935.29,487.8,430.59,32047.17,14.45,0,15,2,3,6,938.83,55967,11229,1039.95,24072.29,BENIGN
8080,1365494,101,237,241180.13,165409.48,947.14,694.86,91010.87,424.56,1,13,5,4,6,990.9,57801,31562,4916.39,90646.98,BENIGN
443,4450253,67,119,387128.31,80506.32,636.04,763.85,67740.26,192.0,2,8,4,3,17,295.45,35120,16585,4540.21,41724.33,BENIGN
139,530969,189,238,347124.42,468651.56,1482.96,516.44,58831.88,292.04,0,4,2,6,6,274.05,18602,41449,1160.03,81648.56,BENIGN
80,1610016,313,229,12923.11,79230.97,512.9,998.71,16211.17,3875.71,6,1,0,3,6,547.25,6500,12476,4563.94,43512.77,Web Attack
53,856839,213,456,77928.66,335951.05,272.82,1147.25,58231.88,3227.22,6,23,3,0,17,493.93,29327,48572,3005.07,91442.61,Web Attack
3306,3700692,259,74,494677.45,293772.42,1416.68,296.01,52990.44,3848.03,14,7,3,1,6,481.87,12638,46951,81.55,71901.17,PortScan
445,1944978,406,317,215929.42,359027.93,1303.65,1185.86,25224.78,116.42,3,9,2,3,6,941.31,65369,13484,44.26,71176.23,BENIGN
22,1557197,239,165,252403.01,218031.79,478.99,1141.0,63747.22,4897.04,14,4,2,5,6,683.94,50075,48998,2338.85,30240.34,Web Attack
110,1044725,119,498,179238.63,462862.23,396.65,861.25,9317.54,495.45,3,0,5,5,17,1257.46,30347,26412,752.91,24027.26,BENIGN
135,1205947,418,398,337644.97,121925.45,1212.67,557.85,16182.51,104.29,2,18,2,6,17,1043.42,1394,47347,4605.44,98375.68,BENIGN
443,2885743,228,412,356643.35,160161.0,1072.68,978.89,33743.67,1196.45,12,21,0,3,6,418.9,53676,18775,911.7,18230.22,Web Attack
25,1452885,330,141,391625.02,273531.01,103.3,844.93,26038.64,121.73,1,25,5,10,17,1198.83,5943,16240,3702.91,43815.95,BENIGN
25,3502817,143,481,382847.48,271730.28,732.38,60.42,23993.13,454.36,0,14,3,3,6,795.69,3692,60629,4291.45,83824.31,BENIGN
25,1620195,114,10,344319.56,32965.29,775.54,756.2,53799.06,488.42,2,15,2,10,6,513.46,26732,53833,3138.92,19880.84,BENIGN
445,4335651,452,99,313177.44,149656.36,1294.02,430.4,53932.81,18.42,1,12,2,2,6,262.84,63269,25411,3169.35,95704.79,BENIGN
21,3104304,315,388,423979.38,20957.27,942.2,1433.2,77378.3,3705.84,6,10,5,1,6,967.59,54995,51379,4837.25,81810.03,Brute Force
445,2603594,104,301,165320.43,461272.67,883.6,1148.88,25519.27,221.96,1,20,3,5,17,270.98,33599,35379,324.63,13287.49,BENIGN
123,4136734,330,108,104634.79,12573.71,982.86,256.73,61469.01,333.63,0,8,1,6,6,1381.19,34693,26090,1892.63,19037.77,BENIGN
445,1343423,127,27,431434.31,170655.91,321.58,587.47,56279.84,4801.65,12,29,0,8,17,986.88,25945,65171,4763.22,18112.65,Web Attack
110,4490450,371,298,291559.34,18703.94,1143.16,958.78,77755.19,164.32,1,25,5,1,6,766.64,41980,62258,3474.88,40142.02,BENIGN
53,2144374,124,97,375811.26,221180.07,73.65,760.31,47753.73,2011.15,9,17,1,2,17,1123.15,39093,44951,3110.2,11496.48,DoS
445,607245,74,468,225582.12,266695.76,1235.04,209.85,22374.09,4313.09,16,5,0,4,17,178.66,16424,1295,3406.83,37265.89,DoS
8080,2616591,8,411,31777.82,369206.03,433.86,1158.15,69202.63,120.29,0,20,4,6,6,576.9,22939,60942,2330.21,61820.46,BENIGN
3306,463595,429,55,50459.79,236811.3,311.48,1258.6,52983.9,20.32,3,23,0,8,6,1444.5,48713,60302,763.29,95356.79,BENIGN
443,2539472,438,132,31531.27,469248.52,681.39,1297.97,27520.86,311.9,1,16,0,4,17,1011.96,53508,44702,2315.67,12282.21,BENIGN
443,4506536,473,304,308480.33,266612.28,850.82,487.84,49852.29,391.78,1,20,4,4,6,329.74,15718,52370,3239.96,31460.1,BENIGN
1433,3266457,159,165,268232.35,456642.99,1063.51,421.64,87788.53,2278.06,19,18,4,0,6,681.31,9373,10120,2402.3,42865.65,PortScan
22,2300864,72,410,123979.08,49571.55,1444.93,876.15,28226.79,361.63,3,4,2,10,17,471.66,17209,60997,4890.66,56690.35,BENIGN
3306,293694,135,441,422199.18,146977.17,1011.78,322.98,7221.21,2169.29,17,6,5,2,17,231.89,13115,19588,404.61,35649.18,Web Attack
139,65651,440,366,111002.12,217917.51,1224.47,468.32,76995.85,535.04,10,24,0,3,17,369.41,57068,3635,1821.39,84212.51,Brute Force
135,1413150,12,416,276082.01,61464.28,283.55,1177.53,85409.55,1370.32,7,29,4,8,6,126.45,6921,16897,2324.4,47913.65,Brute Force
123,4084219,49,12,422529.39,488996.91,915.91,318.78,63532.65,91.75,2,19,5,5,6,822.34,12383,14135,4517.27,78604.03,BENIGN
110,4170485,402,458,268599.62,359708.73,1258.89,1203.77,76966.18,424.21,3,25,4,7,17,1324.97,59338,14439,1855.5,72212.66,BENIGN
3389,4009849,233,113,103336.45,190758.33,860.42,904.39,34648.51,659.91,18,20,1,3,6,360.39,52070,55374,3207.59,80910.1,Brute Force
123,2401485,387,337,373602.19,93559.7,172.51,468.01,26132.54,87.54,1,21,0,0,17,1013.57,27689,64662,4098.94,64991.66,BENIGN
3306,4148506,199,78,482201.75,388147.48,1414.86,1375.72,67227.85,478.19,2,11,1,0,6,1364.21,12407,40798,3259.63,93282.5,BENIGN
80,4497376,87,266,238471.12,427444.12,78.37,430.95,38982.48,3069.73,13,20,0,8,6,561.88,6611,62836,1298.63,7225.57,Bot
25,2383033,136,452,167968.72,207711.84,943.85,837.46,89449.67,2832.92,19,6,4,7,17,399.01,12097,61447,1351.72,61781.91,Web Attack
21,1656528,247,68,447436.77,182814.54,546.79,484.95,55040.45,2837.96,14,11,4,0,6,974.46,42325,60300,2927.95,90580.04,Bot
110,2097884,242,146,353869.23,375007.3,850.71,857.47,87275.88,256.64,1,10,5,7,17,1299.79,28836,46805,1778.05,49394.71,BENIGN
139,1176597,273,444,145685.64,458392.1,750.6,411.06,11869.3,448.68,0,5,3,5,6,1443.22,42176,24698,3522.27,63073.26,BENIGN
123,929902,494,473,333064.52,215820.44,1065.32,1435.58,17493.21,178.76,1,29,1,0,6,803.61,12791,4058,3226.06,421.84,BENIGN
53,2838247,19,275,364320.73,450683.35,727.71,571.73,18492.68,389.44,1,1,1,6,6,1294.23,9128,54306,1363.27,86762.95,BENIGN
1433,744368,180,79,338921.6,377030.1,669.88,786.43,45472.25,9.84,0,1,1,1,6,66.15,26537,51435,4202.48,18936.07,BENIGN
443,458694,206,239,389815.0,447074.04,736.43,1474.94,13354.03,441.6,0,15,5,3,6,914.4,28811,24005,2508.94,38045.93,BENIGN
21,3203425,381,42,233240.45,135870.41,570.88,1080.91,81576.46,52.12,2,29,0,8,17,1352.01,13098,28250,2031.3,72141.91,BENIGN
3306,3118097,469,417,254678.32,444910.13,875.6,504.1,37783.73,154.94,2,8,2,3,6,1163.35,61720,14906,3537.51,34133.79,BENIGN
135,1548579,230,474,166270.06,1467.24,88.92,140.01,51705.13,362.33,3,10,1,4,6,1001.7,7846,50004,4474.97,91016.06,BENIGN
123,4138857,159,465,106326.82,42872.07,1272.58,210.5,77854.85,3243.1,11,8,4,10,6,180.98,15653,41682,2319.71,79847.31,Bot
445,545714,465,414,160178.37,58836.23,99.98,1386.82,54793.54,65.16,1,5,2,10,17,1095.24,24361,38914,1694.51,62436.63,BENIGN
